,item,categories,description,title,price,brand,salesRank,item_id
1305,B000YZD0QM,[['Baby']],"Keep your child safe and secure in the car with the Triumph Advance LX, Harbortown from Evenflo. Designed for children two to 35 pounds in rear facing, and 20 to 50 pounds and up to 50 inches tall in forward facing, this convertible car seat allows your child to stay in a 5-point harness over a year longer than traditional car seats with a 40-pound rating, which helps keep your child safer as he grows..caption { font-family: Verdana, Helvetica neue, Arial, serif; font-size: 10px; font-weight: bold; font-style: italic; } ul.indent { list-style: inside disc; text-indent: 20px; } table.callout { font-family: Verdana, Helvetica, Arial, serif; margin: 10px; width: 250; } td.callout { height: 100 percent; background: #9DC4D8 url(http://images.amazon.com/images/G/01/electronics/detail-page/callout-bg.png) repeat-x; border-left: 1px solid #999999; border-right: 1px solid #999999; padding: 10px; width: 250px; } ul.callout { list-style: inside disc; text-indent: -12px; font-size: 12px; line-height: 1.5em; } h5.callout { text-align: center; }The Evenflo Triumph Advance LX car seat offers:Forty-pound rating.Easy harness adjustment thanks to InfiniteSlide system.Multi-position recline for extra comfort and flexibility.The InfiniteSlide harness lets you easily adjust the harness.Infinite Slide Harness AdjustmentThe Harbortown meets or exceeds all U.S. safety standards, making it a smart, reliable choice. One of its key safety features is the InfiniteSlide harness system which allows you to change the harness height by simply sliding the red tabs up and down. This system also does not require re-threading, saving you time and decreasing the chance of improper positioning. Additionally, the 5-point harness easily tightens with a quick turn on the TensionRight knobs on each side of the seat.Proper Positioning for a Safe, Comfortable RideProper positioning of your child in the car seat is extremely important, not only for his or her comfort, but also to ensure optimum safety and protection. That's why the Harbortown has a multi-position recline and removable body pillows to surround baby in soft support. Two buckle straps accommodate growing children by being easy to adjust, and the EPP foam liner helps absorb energy to maintain proper positioning in the case of sudden or jarring movement.There's even a removable, flip-down cup holder to hold your child's favorite drink in a convenient location that they can easily access. This holder also folds out of the way when not in use. The Harbortown also offers perks for parents, including a machine washable pad that's a snap to remove and clean. Easy to install and adjust, the Harbortown features a parent-friendly design that's durable, reliable and, most importantly, safe.About EvenfloFor over 85 years, Evenflo has been a worldwide leader in the development of innovative infant equipment and is now one of the nation's leading manufacturers of high quality baby care and juvenile products. Evenflo began as a company that solely distributed baby care products. They have now expanded to manufacturing products, like car seats, strollers, high chairs, play yards and activity centers, that meet all the needs of children from birth to the pre-school years.","Evenflo Triumph Advance LX Convertible Car Seat, Harbortown",139.0,,,1305
1306,B000Z3DWHK,[['Baby']],"The Mercer Collection is a union of smooth style and smart function. We've thought about all the details so you can think about baby. That's the miracle in every Mercer.  At babyletto, we build not just clean, non-toxic nurseries but green, non-toxic worlds.&#xA0; That's why environmental sustainability and energy efficiency are babyletto family values.&#xA0; Each stylish collection is constructed from New Zealand Pine grown in sustainable forests.&#xA0; Built with non-toxic finishes for perfect safety and reliability, babyletto collections are also shipped smart to reduce our carbon footprint.&#xA0; So take a deep breath and know that the babyletto choice is the best choice all around for baby's inside places and baby's outside spaces.","babyletto Mercer 3-in-1 Convertible Crib with Toddler Rail, Two Tone",399.0,babyletto,,1306
1307,B000ZD3YG4,[['Baby']],"A baby can be put at risk with an unsafe pacifier and the possibility of loose bits of silicone. That's why they created the GumDrop.

The GumDrop is a safe, soft topped pacifier that's already been designed to fit your baby's face - even in the face of tubes and cannulas, so you will never have to modify the shape. And its perfect for side-lying without the hard plastic bases of most other popular pacifiers. GumDrop rests comfortably against your baby's delicate skin, offering a silicone-covered, curved surface and a familiar nipple shape that babies love.

Our GumDrops also come in a soothing Vanilla scent that can calm the fussiest of babies.",Gumdrop Full-term Natural Scent Pacifier Blue,1.95,GumDrop,,1307
1308,B000ZEXKJE,[['Baby']],"A baby can be put at risk with an unsafe pacifier and the possibility of loose bits of silicone. That's why they created the GumDrop.

The GumDrop is a safe, soft topped pacifier that's already been designed to fit your baby's face - even in the face of tubes and cannulas, so you will never have to modify the shape. And its perfect for side-lying without the hard plastic bases of most other popular pacifiers. GumDrop rests comfortably against your baby's delicate skin, offering a silicone-covered, curved surface and a familiar nipple shape that babies love.

Our GumDrops also come in a soothing Vanilla scent that can calm the fussiest of babies.

Please note: this item number is for a five pack of the GumDrop.",GumDrop Pacifier Full-Term Natural Scent Orange 5 Pack,16.79,,,1308
1309,B000ZEZ0MY,[['Baby']],"A baby can be put at risk with an unsafe pacifier and the possibility of loose bits of silicone. That's why they created the GumDrop.

The GumDrop is a safe, soft topped pacifier that's already been designed to fit your baby's face - even in the face of tubes and cannulas, so you will never have to modify the shape. And its perfect for side-lying without the hard plastic bases of most other popular pacifiers. GumDrop rests comfortably against your baby's delicate skin, offering a silicone-covered, curved surface and a familiar nipple shape that babies love.

Our GumDrops also come in a soothing Vanilla scent that can calm the fussiest of babies. 

Please note: this item number is for a five pack of the natural scent pink colored Gumrop.",GumDrop Pacifier Full-Term Natural Scent Pink 5 Pack,9.99,,,1309
1310,B000ZEZ2BS,[['Baby']],"A baby can be put at risk with an unsafe pacifier and the possibility of loose bits of silicone. That's why they created the GumDrop.

The GumDrop is a safe, soft topped pacifier that's already been designed to fit your baby's face - even in the face of tubes and cannulas, so you will never have to modify the shape. And its perfect for side-lying without the hard plastic bases of most other popular pacifiers. GumDrop rests comfortably against your baby's delicate skin, offering a silicone-covered, curved surface and a familiar nipple shape that babies love.

Our GumDrops also come in a soothing Vanilla scent that can calm the fussiest of babies. 

Please note: this item number is for a five pack of the full-term natural scent blue GumDrop.",GumDrop Pacifier Full-Term Natural Scent Blue 5 Pack,24.99,GumDrop,,1310
1311,B000ZG2JH6,[['Baby']],"Bright Starts Hop Along Carrier Toy Bar comes with entertaining toy bar provides multiple activities for babies on the run. This friendly frog toy features baby activated lights, three melodies, colorful texture beads, spinning paddle mirror and spinning rattle ball. This straps easily to strollers carriers and more.",Bright Starts Hop Along Carrier Toy Bar - Neutral,8.89,,,1311
1312,B000ZK3YBC,[['Baby']],"Milk Trays - breast milk freezing system designed to freeze expressed breast milk in single-ounce servings.  Frozen milk will then fit through any bottle opening.  Milk Trays are made from a reusable, medical-grade, Bisphenol-A FREE plastic!  Using Milk Trays eliminate the waste associated with nurser bags - only use the ounces you need to use for each feeding.  Milk Trays are reusable - a more cost-effective means for moms to freeze their ""liquid gold"".",Sensible Lines Milk Trays,21.95,Sensible Lines,,1312
1313,B000ZKHVMU,[['Baby']],"The diaper sprayer is a fresh new way to clean soiled diapers. Its strong, adjustable spray rinses even the messiest diapers. The mess goes where it is supposed to go and your hands stay clean. During potty training, the sprayer is perfect for rinsing potty chairs. The adjustable spray is gentle enough to be used for personal hygiene after childbirth. Easy to install no plumber needed. All parts and detailed instructions with high-quality pictures are included in the box.",bumGenius Diaper Sprayer,56.95,bumGenius,,1313
1314,B000ZKZTGK,[['Baby']],Graduates safety fork and spoon set is a great training aid that helps toddlers learn to feed themselves.,"Gerber Graduates BPA Free 2 Pack Safety Fork and Spoon Set, Colors May Vary",4.98,Gerber Graduates,,1314
1315,B000ZL3C6I,[['Baby']],"Make mealtime on-the-go effortless! Perfect for daycare, restaurants or any travel occasion. Just the right size for an infant's feeding needs, these bowls are also comfortable for adults to hold. Lids seal tightly to prevent foods from mixing into different compartments. Built-in utensil compartment makes it easier to take along a Take &amp;amp; Toss Infant Spoon! Vivid, assorted colors hide unsightly food stains. Mix and match for stylish combinations!",The First Years Take &amp; Toss Infant Section Bowls w/ Lids - 3 Pack. Colors May Vary,9.73,,,1315
1316,B000ZMT6VM,[['Baby']],"Bumbo Baby Sitter is manufactured to the highest safety standards from low-density foam material, which makes it lightweight and portable. It is soft, comfortable, safe, hygienic and non-toxic for the baby. The integral outer skin of the material is durable and easy to clean. The Bumbo baby sitter is versatile and can be used safely and conveniently anywhere on any level surface, and is definitely the extra set of hands you have always been looking for. It is the perfect gift for that special occasion.","Bumbo Baby Seat, Sitter High Chair - Blue",49.99,,,1316
1317,B000ZN4APS,[['Baby']],The Skip Hop Via Backpack Diaper Bag combines great style with lots of function for parents on the go. The perfectly proportioned pack has a pocket for everything a unique side zipper means one-handed access and no more digging into a bottomless pit. The easy-access changing station opens up like a book for maximum viewing and includes a cushioned changing pad. Stroller clips that attach perfectly to your stroller are an added plus.,"Skip Hop Via Backpack Diaper Bag, Black",89.99,,,1317
1318,B000ZNPRDW,[['Baby']],"Ju Ju Be's PackaBe is both hip and functional. Light colored linings take away the ""black hole"" effect and help you finally find what you've been looking for. Hidden under the flap is a spot to put pictures of your new little bundle as you never know when you might need to show them off. Features a mommy pocket with extra long key clip, cosmetics pouch and cell phone pocket. 3 way adjustable strap allows you to transfer from backpack to shoulder bag with little effort. Strap includes shoulder pad with memory foam and a grippy textile underneath. Outside bottle pockets with hidden elastic top that allows you to fit even the bulkiest bottles. Crumb drains get rid of the mess so it doesn't stay in your bag. Measures 11"" x 14"" x 6""","Ju-Ju-Be Packabe Diaper Bag, Brown/Champagne",114.29,,,1318
1319,B000ZQ1I50,[['Baby']],"Little Giraffe's mission is to provide consumers with the most luxurious, exclusive, and hassle-free children's and adult accessories on the market. Wrap your little one in soft luxury with our chenille baby blanket. This super snuggly blanket is trimmed with a matching satin picture frame edge. After one touch you&#x2019;ll quickly understand why your child won&#x2019;t go anywhere without this blanket.","Little Giraffe Chenille Blanket, Blue",49.99,Little Giraffe,,1319
1320,B000ZX6XA8,[['Baby']],Vent Inserts are exclusive for the wide neck 4-ounce and 8-ounce Dr. Brown's Natural Flow baby bottles. They are meant to replace worn or lost inserts. These vent inserts are an integral part of the Dr. Brown's patented internal venting system.,"Dr. Brown's Natural Flow Wide Neck Insert Replacements, 2 Pack",2.49,Dr. Brown&#39;s,,1320
1321,B000ZYL5ZK,[['Baby']],Colorful rattling fun makes this one of baby's favorites.,"Bright Starts Rattle and Shake Barbell Rattle, Pretty in Pink",1.35,Bright Starts,,1321
1322,B000ZYL63Q,[['Baby']],Teething babies choose fun shapes and textures that are easy to grasp.,"Bright Starts Chill and Teethe, Pretty in Pink",2.2,Bright Starts,,1322
1323,B000ZYM8TW,[['Baby']],"Your baby has already earned his license to drool,&#xA0;now just hand over those Keys.",Bright Starts License to Drool Teether,5.5,Bright Starts,,1323
1324,B00101TXPG,[['Baby']],"The Safety 1st High-Def Digital Monitor provides a 100% clear connection anytime, anywhere. It is the next leap in digital audio clarity, providing parents ease of mind that they have distinguished between a gurgle and a whimper. This unit, from Safety 1st utilizes the DECT 6.0 frequency for guaranteed clear and private connection with no interference.",Safety 1st High-Def Digital Monitor,41.07,Safety 1st,,1324
1325,B00106RRN6,[['Baby']],"Pack of two, 100% cotton muslin swaddling blankets. aden + anais wraps are the ultimate in breathability and softness. The fabric's light, open weave allows a baby's body temperature to regulate itself naturally in order to help reduce the risk of overheating, so that a swaddled baby stays cool in the summer and warm in the winter. It is gentle on baby's skin and durable for everyday use, as the more you wash it, the softer it gets. aden + anais wraps are a generous size, measuring 47"" x 47"", so that new and seasoned moms alike can swaddle babies of all sizes with ease. In addition to the common use as a swaddling wrap, aden + anais wraps are versatile and useful as burp cloths, nursing shields, stroller covers to protect from sun, cold, wind or insects, portable crib sheets, stroller and car seat liners, tummy time blankets, change table covers, and more.","aden + anais Classic Muslin Swaddle Blanket 2 Pack, For The Birds",32.0,aden + anais,,1325
1326,B00106XZEG,[['Baby']],"Aden and Anais Muslin Wraps is made up of 100% cotton. Muslin swaddling wraps are the ultimate in breathability and softness. The fabric's light, open weave allows a baby's body temperature to regulate itself naturally in order to prevent overheating. Muslin has the unique characteristic of allowing a swaddled baby to stay cool in the summer, while still offering warmth in the winter, and the more you wash it, the softer it gets. Each swaddling wrap measures 47/47"" in size and allows new and seasoned moms alike to swaddle any size baby with ease. It is more traditionally used as a swaddling wrap. Aden and Anais wraps are also useful as burp cloths, nursing shields, stroller covers to protect from sun, cold, wind or insects, portable crib sheets, stroller and car seat liners, tummy time blankets, change table covers, and more.","aden + anais Classic Muslin Swaddle Blanket 4 Pack, Blue and White (Previous Model)",49.95,aden + anais,,1326
1327,B0010AN0JC,[['Baby']],"Made of school quality durable, vinyl-covered foam, these soft, sturdy Play Forms give pre-schoolers climbing, rolling and sliding fun. Lightweight enough for even toddlers to arrange and re-arrange for gymnastic challenges, they will withstand their toughest workout.",Soft Play Forms,167.99,Constructive Playthings,,1327
1328,B0010BIR1M,[['Baby']],"Combi Twin Sport lightweight side-by-side twin stroller in Ember / Wasabi folds quickly and easily just like the single strollers.  Self standing when folded, and includes convenient carrying strap.  Each seat accommodates up to 45 lb child, and reclines fully and independently.  Plush seating areas include 5-point logo harnesses and fabrics that are breathable air mesh and separately removable and washable as well, Independent canopies have designer lining, and storage pocket and windows.  Soft guardrail is removable, either individually or completely.  The stroller will also accommodate one Combi Shuttle Infant Car Seat, and aluminum stroller frame keeps weight low at 23.4 lbs.",Combi Twin Sport 2 Side by Side Double Stroller in Ember/Wasabi,224.55,,,1328
1329,B0010CD2IO,[['Baby']],KidCo Door Knob LockKidCo Door Knob Lock is a unique product designed to keep kids out of specific rooms in your home. The lock snaps together and is easy to install. The design of the lock is based on a side pinch-grip technology. It is ideal for round door knobs of a standard variety. It has a hinged tab for a keyhole.Why You'll Love It:It prevents kids in your home from entering rooms that are off limits to them.FeaturesEasy installation that snaps onDesign is based on a side pinch-grip technologyHelps prevent children from entering particular roomsIdeal for standard round door knobsHinged tab for the keyholeNo additional tool requiredIncludes:2 locks per pack,Kidco Door Knob Lock - Clear - 2,5.99,KidCo,,1329
1330,B0010L98DI,[['Baby']],Dr. Brown's Formula Mixing Pitcher has a unique mixing blade that dissolves formula quickly with no clumping and allows minimal air to be introduced when mising formula.  The No-Drip spout with locating rib allows for clean and easy pours into Dr. Brown's baby bottles.,Dr. Brown's Formula Mixing Pitcher,12.01,Dr. Brown&#39;s,,1330
1331,B0010LR812,[['Baby']],The flexible toddler baby banana brush was created by a mom-hygienist and is the ideal toothbrush for toddlers ready to graduate to their first real toothbrush. This the fun banana shape and soft silicone make brushing a fun experience and promote good oral hygiene habits at a young age. It is made of the highest quality grade silicone and is compliant with the strictest government standards. The unique flexibility is much safer than traditional toothbrushes and decreases risk of mouth injury. The unique c-shape curve allows for easy access for difficult to reach back teeth. The baby banana brush is dishwasher and freezer safe. Parental supervision recommended.,"Baby Banana Bendable Training Toothbrush, Toddler",6.81,Baby Banana,,1331
1332,B0010PW47Q,[['Baby']],,"ERGObaby Original Baby Carrier, Camel",115.0,ERGObaby,,1332
1333,B0010SD8VE,[['Baby']],Medela Wide Base Nipple 3-Pack Slow Flow. Medela wide base silicone nipples are available in slow and medium flow for feeding newborns and infants. Features: Benefits of Medela Wide Base Nipple 3-Pack Slow Flow: Compatible with all Medela breastmilk bottles. Requires wide base collar. (3) wide base slow-flow silicone nipples,Medela Slow-Flow Wide Base Nipples (3-Pack),4.49,Medela,,1333
1334,B0010SGZDC,[['Baby']],"Now your shelf or tabletop can look neat and clean all the time with our sleek diaper organizer. It holds diapers, lotions, diaper disposal bags and more. The flat top is the perfect spot to place your wipe dispenser or wipe warmer. And, the side bins are removable if you have space limitations. We even include 12 scented diaper bags to help your diapering space smell fresh and clean.","Munchkin Diaper Duty Organizer, Colors May Vary",18.0,Munchkin,,1334
1335,B0010SIJK4,[['Baby']],"Medela wide base silicone nipples natural feel and shape complements breastfeeding. Available in slow and medium flow for feeding newborns and infants. May be cleaned in the dishwasher, micro steamed, boiled or washed by hand. Made without BPA safe for mom and baby. All Medela breastmilk bottles and products that come in contact with breastmilk&#xA0;are and always have been&#xA0;made without&#xA0;BPA.&#xA0;",Medela Medium-Flow Wide Base Nipples (3-Pack/ 4-12 months),6.5,Medela,,1335
1336,B0010TC9FO,[['Baby']],Flip top for cups.,"Nuby Flip Top For Cups, Colors May Vary",3.11,Nuby,,1336
1337,B0010WAXN6,[['Baby']],"The First Years Newborn-to-Toddler Reclining Feeding Seat is perfect from birth to four years old. Its unique, 4-stage reclining seat allows this seat to adjust to each stage of your baby's development. You can use full recline mode to feed your newborn and adjust it all the way through booster for your little one. The adjustable height helps the seat fit most tables, and the removable, dishwasher-safe tray makes clean up a breeze. The full-sized pad is soft, reversible, and machine-washable. Your little one will also have fun and learn with the ABC-123 tray mat, which is easy to clean. This safe and durable feeding seat will ensure that your little one has a comfortable and reliable place to eat for years to come.",The First Years Newborn to Toddler Reclining Feeding Seat,39.99,,,1337
1338,B001134IL2,[['Baby']],"Your baby will love relaxing in this bouncer. Soothing vibration and 3 fun toys will keep him entertained. This has contoured seat design for cradling comfort. It also has three engaging Bright Starts toys, one handed removable toy bar. This is machine washable seat pad.",Bright Starts Bouncing Buddies Cradling Bouncer in Blue,26.0,,,1338
1339,B00113ESI0,[['Baby']],"The ultimate in infant positioning and support now features a snap-on or twist off pommel to accommodate the tray accessory and play mat. Your baby's own body weight helps ensure a safe and comfortable seating position now available with optional straps. Lightweight, durable, non-toxic, it is an essential tool for babies learning to sit.","Prince Lionheart bebePOD floor seat, Yellow",41.0,,,1339
1340,B00113Q3M4,[['Baby']],LANSINOH DIAPER RASH OINTMENT Size: 3 OZ,Lansinoh Diaper Rash Ointment 3 oz (85 g),59.99,Lansinoh,,1340
1341,B00113S6X8,[['Baby']],"The ideal baby outerwear ""LE SAC IGLOO"" eliminates the need for warm clothing or snowsuits. Innovative and Award winning ""LE SAC IGLOO"" has become the must have item for babies and families on the go. Exclusively created by the Studio 7 A.M. with your baby's comfort and every parent's needs in mind, the Patent Pending ""SAC IGLOO"" is provided with a versatile detachable cover designed to be used as a single panel stroller or car seat blanket. Its waterproof shell gives the perfect protection from wind and rain. Its cotton lining embraces your baby from head to toe and light ultra-soft premium fiber insulation provides optimal comfort and warmth to the child, and gives parents the freedom to enjoy their favorite activities during the cold winter months, whether on the slopes, the campsites or for the everyday demands of urban life. A snapped removable fleece liner allows for additional comfort when the heat rises. Modernism a nurturing surrounding is now compatible. Size 18 months - 3T.","7A.M. ENFANT &quot;Le Sac Igloo&quot; Footmuff, Converts into a Single Panel Stroller and Car Seat Cover - Caf&eacute;, Large",125.79,7A.M. Enfant,,1341
1342,B00115PFOO,[['Baby']],The Dream On Me Sleigh Toddler Bed is made especially for toddlers as they transition from crib to a bed. This is specifically designed low to the floor. It features two side rails that provide your toddler with added safety. This sleigh design head and footboard comes with its non toxic finish and is available in 8 finishes. It makes this the perfect choice for your toddler. This also includes tools for easy assembly. Bolts are located in a taped box within the package.,"Dream On Me Classic Sleigh Toddler Bed, White",86.95,Dream On Me,,1342
1343,B00115Q5A2,[['Baby']],"There are baby bouncers, and there are activity centers -- and then, there's the Baby Einstein Musical Motion Activity Jumper, which combines both concepts in one fun, convenient, and economical toy. Babies ages 4 months and up, under 25 pounds, will enjoy bouncing with their legs and swiveling in their seats to play with a variety of developmentally challenging activities..caption { font-family: Verdana, Helvetica neue, Arial, serif; font-size: 10px; font-weight: bold; font-style: italic; } ul.indent { list-style: inside disc; text-indent: -15px; } table.callout { font-family: verdana; font-size: 11px; line-height: 1.3em; } td.think { height: 125px; background: #9DC4D8 url(http://images.amazon.com/images/G/01/electronics/detail-page/callout-bg.png) repeat-x; border-left: 1px solid #999999; border-right: 1px solid #999999; border-bottom: 1px dotted #000000; padding-left: 20px; padding-right: 20px; padding-bottom: 10px; width: 250px; } td.glance { height: 100%; background: #9DC4D8; border-left: 1px solid #999999; border-right: 1px solid #999999; padding-top: 10px; padding-left: 20px; padding-right: 20px; padding-bottom: 10px; width: 250px; } img.withlink {border:1px black solid;}What We ThinkFun Factor:Durability:(what this means)The Good:Versatile activity center gives babies vital leg exercise and stimulation with a variety of enticing toysThe Bad:May be too cumbersome for small living spacesIn a Nutshell:Activity Jumper combines baby bouncer with popular activity center functionality in one convenient and fun toyAt a GlanceAges:4 months and up to 25 poundsRequires:#1 Phillips screwdriver; 3 C batteriesBabies will be able to explore music with the piano keys.View larger.The Activity Jumper folds flat for easy storage.View larger.Innovative Variety of Developmental ActivitiesThe Musical Motion Activity Jumper sports a cheerful, primary-color palette that's eye-catching and suitable for boys or girls. It stands on a base, with the infant bucket seat attached to two arches by adjustable, spring-loaded straps. When baby is placed in the seat, he can kick off the ground with his legs to bounce up and down. This provides vital exercise for a youngster's legs, helping to prepare him for walking. The six-point height adjustment lets it grow with your infant, while non-skid feet and fabric-covered springs keep baby safe.Most bouncers stop there -- but we're delighted to find that the Activity Jumper also surrounds baby with plenty of fun, interactive toys. The bucket seat can rotate 360 degrees for baby to reach all of the activities. He'll delight in the frog spinner, bead chaser, and baby-proof mirror. The toy also includes 10 Baby Einstein links that can be repositioned and detached from the activity center for on-the-go play, or which serve as attachment points for additional toys.A teether stalk toy helps soothe itchy gums while encouraging ""reach and grab"" coordination. And the light-up piano keys give baby an interactive introduction to musical creativity with two modes: the ""piano notes"" mode plays in piano tones, while the ""melodies"" mode features five classical melodies.Help Your Little One Get StrongerBabies love bouncing. Not only is it exciting for a baby to move himself with the power of his own legs, but it gives him satisfying, and vital, exercise that helps prepare him for standing and walking. The higher and harder that baby bounces in the Activity Jumper, the more the toys will rattle and shake -- making it even more exciting and fun. And with the added benefit of a rotating seat, which baby operates by pushing off the ground with his feet, your infant gets even more leg coordination practice in a safe, secure place. We especially enjoy the versatility of this 2-for-1 toy -- and it's safer than an infant walker.Other perks for parents: the fabric seat cover is a cinch to remove, and it's machine washable. And unlike some other bouncers, the Activity Jumper folds down flat for much easier storage. While it's erected, however, it takes up a bit of room. And because your baby won't be able to use this toy once he's able to stand and walk unassisted, it has a limited-use timeframe.What's in the BoxActivity jumper, assembly hardware, quick start guide, and user's guide.","Baby Einstein Musical Motion Activity Jumper, Green",117.79,,,1343
1344,B00115S410,[['Baby']],"Bright Starts Petal Pusher Carrier Toy Bar is a whimsical pink friend which provides fun on the run. The smiling flower toy features six melodies, lights, and a mirror. It has a plush dangling caterpillar and dragonfly with crinkle wings. The bug shaped handle encourages baby to activate musical flower. It is provided with straps that attach easily to infant carrier.",Bright Starts Petal Pusher Carrier Toy Bar,16.0,Bright Starts,,1344
1345,B00116XUU4,[['Baby']],"Designed to be most like mom, the Playtex Drop-Ins NaturaLatch Silicone Nipple, Medium Flow helps your baby make an easy transition from breast to bottle. The wide nipple promotes the natural latch-on technique used in breastfeeding and, as an added bonus, is quick to clean. BPA-free, this soft nipple is easy on your baby's gums and lips so both little ones and parents can feel comfortable using it.Drop-Ins NaturaLatchSilicone Nipple, Medium FlowAt a Glance:Ages: 3 months +Please note: the image above represents the Playtex Drop-Ins family of products and not the product being sold here.View larger.See What's in the Box for details.Playtex Drop-Ins products help parents and children form the tender bond that comes with breastfeeding.View larger.The Playtex Drop-Ins Family: Listening to Your Baby's IntuitionPlaytex designs their Drop-Ins bottles and nipples to promote your baby's intuition to nurse. Whether it's sucking, swallowing, or the breathing rhythm that comes naturally to nursing babies, Drop-Ins help parents and children form the tender bond that comes with breastfeeding.In a clinical colic study shownhere, Drop-Ins were found to reduce several indications of colic and distress in nursing babies better than other leading brands. Because the Drop-Ins System mimics the feeding and breathing patterns of breastfeeding, infants were able to feed with increased ease and comfort.Nipples Mimic Breastfeeding and Promote Latch-OnDrop-Ins Nipples promote the latch-on technique that is most like breastfeeding. The soft nipples are gentle on a baby's gums and come in two different textures--silicone or latex--so you can choose what works best for your baby.You can also select between slow, medium, fast flow, or the Y-cut nipple to customize the bottle for your growing child. The Slow Flow is appropriate for a newborn baby, while the Y-cut is ideal for older babies switching between bottle and breastfeeding and can also accommodate thicker or cereal-based liquids.About Playtex: Thoughtfully Designed Products for Your Little OnesThe Playtex family of baby and toddler products provides invaluable, time-saving products for parents and caregivers. From bottle-feeding systems and pacifiers to the Diaper Genie and children's utensils, Playtex delivers innovative design and high-quality products for use from birth to the preschool years. With the Drop-Ins, VentAire, and Kinder-Grip systems, Playtex is the number-one pediatrician-recommended bottle brand.What's in the BoxTwo Playtex Drop-Ins NaturaLatch Silicone Nipples, Medium Flow.Original NurserNewborn Gift SetOriginal Nurser (8-Ounce)Premium NurserNewborn Gift SetPremium NurserDecorated Gift SetPremium Nurser 4 oz(3-Pack)Premium Nurser 4 oz(2-Pack)Premium Nurser 8 oz(2-Pack)Premium Nurser 8 oz(3-Pack)Standard Liners 4 oz(100-Count)Liners 4 oz(100-Count)Liners 8 oz(100-Count)NaturaLatch Latex NippleFast Flow (2-pack)Orthodontic Latex NippleMedium Flow (2-Pack)NaturaLatch Latex NippleSlow Flow (2-Pack)NaturaLatch Silicone NippleFast Flow (2-Pack)NaturaLatch Silicone NippleMedium Flow (2-Pack)NaturaLatch Silicone NippleSlow Flow (2-Pack)Y-Cut Ceral NippleVariable Flow (2-Pack)",Playtex Drop-Ins NaturaLatch Silicone Nipple - Medium Flow - 2 Pack,7.47,Playtex,,1345
1346,B00117CQK8,[['Baby']],"Angel Dear Curved Pillows are versatile lightweight pillows with the sweetest faces. Machine washable with removable covers.  Angel Dear Curved Pillows measure 17""X16""X4"".","Angel Dear Curved Pillow, Light Brown Puppy",18.0,Angel Dear,,1346
1347,B00119MR2S,[['Baby']],20 Count Neat-Ware Bio-Degradable Table Topper Disposable Placemats.,Neat Solutions 20 Count Neat-Ware Table Topper,9.79,Neat Solutions,,1347
1348,B00119R1HY,[['Baby']],"Canvas Front Pouch easily attaches to any ergobaby carrier and allows you convenient access to all of your essentials. The Mini-Pouch is perfect for stowing items such as a wallet, cell phone, sunglasses, keys, pacifier or MP3 player. Attach it to your ergobaby carrier's waist belt or use it without the carrier with the shoulder strap. Features 100% cotton canvas body construction. Nylon lining. Zipper closure for secure storage. Velcro attaches to all ergobaby carrier waist belts. Removable, adjustable shoulder strap for use without a carrier. Interior key chain hook included. Machine wash cold with mild detergent on gentle cycle. Dry on delicate cycle and remove when seams are still damp. Air dry.","ERGObaby Front Pouch, Camel",13.32,ERGObaby,,1348
1349,B0011CW4AA,[['Baby']],"KidCo Electrical Outlet CapsKeep the electrical outlets covered with KidCo Electrical Outlet Caps. You can cover the unused socket with the cap, which is easy to plug in. The pinch grip also makes it easy for adults to remove the cap when using the outlet. The pack has 36 caps that can be used to cover the unused electrical outlets around the house.Why You'll Love It:The outlet caps help in covering the unused electrical socket so that children do not poke their fingers in the socket.FeaturesLarger design reduces the risk of choking if child gains access to plugErgonomic pinch grip for easy adult removalTransparent material blends with decor",KidCo Electrical Outlet Caps - 36 Piece,7.83,KidCo,,1349
1350,B0011E5LRG,[['Baby']],With the Boppy Support Maternity Band you can easily transit from regular clothes to maternity clothes and then back again. Breathable elastic lace provides support for your growing tummy. Eases back pain and provides abdominal support. Gently lifts belly to reduce bladder pressure. It provides postnatal support also provides gentle abdominal support after any delivery. Eases discomfort after a c-section. Helps you return to normal activities and wardrobe earlier.,Boppy Maternity Support Band - Medium/Large,14.95,,,1350
